puzzle,category,date
THAT'S WHAT I CALL A VACATION,Phrase,11/25/20
CULINARY CREATIVITY,Thing,11/25/20
STEPHEN KING CRAB LEGS,Before & After,11/26/20
UNDER PRESSURE BY QUEEN & DAVID BOWIE,The 80'S,11/26/20
I'M READY FOR EXCITEMENT,Phrase,11/26/20
I BIT OFF MORE THAN I CAN CHEW,Phrase,11/27/20
ROMANTIC EVENING FOR TWO,Event,11/27/20
COMING UP WITH THE ANSWER,What Are You Doing?,11/27/20
PAUSE FOR APPLAUSE,Rhyme Time,11/27/20
PLANNING MY TRIP,What Are You Doing?,11/30/20
POLKA-DOT SOCKS,What Are You Wearing?,11/30/20
CORNER CABINET,Around The House,11/30/20
I PLEAD GUILTY PLEASURE,Before & After,12/1/20
WARM TROPICAL BREEZE,Thing,12/1/20
SONG-AND-DANCE ROUTINE,Show Biz,12/1/20
REACHING THE SUMMIT,Event,12/1/20
A THRILLING ESCAPE,Event,12/2/20
IT WAS BOUND TO HAPPEN,Phrase,12/2/20
SANDALS SADDLE SHOES SNEAKERS & SLIPPERS,Same Letter,12/3/20
SOAKING IN A MINERAL BATH,What Are You Doing?,12/3/20
SENTIMENTAL FAVORITE,Thing,12/3/20
AWARD-WINNING SCREENWRITER,Show Biz,12/4/20
COLORFUL ARCHITECTURE,Thing,12/4/20
VARIETY IS THE SPICE OF LIFE,Phrase,12/4/20
AMERICAN GIRL DOLLS,Fun & Games,12/7/20
YOU'LL HAVE THE MOST AMAZING TIME,Phrase,12/7/20
READING THE INSTRUCTIONS,What Are You Doing?,12/7/20
BREAD BAKING IN THE OVEN,Food & Drink,12/8/20
TICKETS FOR TONIGHT'S LUAU,Things,12/8/20
WOODEN NUTCRACKER,Around The House,12/8/20
SHOPPING & CREAM-FILLED CENTER,Same Name,12/9/20
COLLECTING BEANIE BABIES,The 90'S,12/9/20
HAPPY-GO-LUCKY SIGHTSEERS,People,12/9/20
HAVE I MADE MYSELF CLEAR?,Phrase,12/9/20
GREYHOUND WAGGING ITS TAIL,Living Thing,12/10/20
ABSOLUTELY PERFECT WEATHER,Thing,12/10/20
HAVE A CUP OF CHEER,Song Lyrics,12/10/20
HOMEMADE PUDDING WITH NUTMEG,Food & Drink,12/11/20
MR. POTATO HEAD HONCHO,Before & After,12/11/20
THIS IS GOING TO BE FABULOUS,Phrase,12/11/20
TAKING IN ALL THE BEAUTY,What Are You Doing?,12/14/20
NEW PAIR OF SKI BOOTS,What Are You Wearing?,12/14/20
PEPPERMINT STICK BROWNIES,Food & Drink,12/15/20
TAXI & SLEIGH RIDE,Same Name,12/15/20
PEACE AND SERENITY,Things,12/15/20
I FEEL PRETTY GREAT,Phrase,12/15/20
PATIENTLY WAITING UNDER THE MISTLETOE,What Are You Doing?,12/16/20
TASTY RUM PUNCH,Food & Drink,12/16/20
LITTLE RED WAGON,Around The House,12/16/20
WALKING IN A WINTER WONDERLAND,Song Lyrics,12/17/20
CAKES COOKIES CRANBERRIES CANDY CANES,Same Letter,12/17/20
TUNING MY UKULELE,What Are You Doing?,12/17/20
TICKLE ME ELMO,The 90'S,12/17/20
NOW DASH AWAY! DASH AWAY! DASH AWAY ALL!,Quotation,12/18/20
WHALE-WATCHING EXPEDITION,Event,12/18/20
KEEPING MY OPTIONS OPEN,What Are You Doing?,12/18/20
BUILDING A HOT WHEELS TRACK,Fun & Games,12/21/20
COMFORTABLE TRAVEL PILLOW,Thing,12/21/20
HAPPY GRANDPARENTS,People,12/21/20
LOTS OF LINCOLN LOGS,Fun & Games,12/22/20
IT'S A WONDERFUL LIFE COACH,Before & After,12/22/20
DIVINE SCENERY,Thing,12/22/20
SETTING MY ALARM,What Are You Doing?,12/22/20
RED & GREEN RIBBONS & BOWS,Things,12/23/20
GAZING AT THE TURQUOISE SEA,What Are You Doing?,12/23/20
MEAT THERMOMETER,In The Kitchen,12/23/20
SO HURRY DOWN THE CHIMNEY TONIGHT,Song Lyrics,12/24/20
SECRET SANTA & STOCKING STUFFERS,Same Letter,12/24/20
BREATHING IN THE FRESH AIR,What Are You Doing?,12/24/20
JINGLING SLEIGH BELLS,Things,12/24/20
STACKING WOODEN JENGA BLOCKS,Fun & Games,12/25/20
CREDIT & WILD CARD,Same Name,12/25/20
I'M STARTING TO FEEL MUCH BETTER,Phrase,12/25/20
BANANA NUT MUFFIN TOPS,Food & Drink,12/25/20
WONDERFUL WARM CLIMATE,Thing,12/28/20
SWEET CORN BREAD,Food & Drink,12/28/20
SOCCER & LONG-TERM GOAL,Same Name,12/29/20
TEACHING AN OLD DOG NEW TRICKS,What Are You Doing?,12/29/20
THIS IS JUST WHAT I NEEDED,Phrase,12/29/20
THE FIRST DAY OF JANUARY,Event,12/29/20
ART SUPPLY STORE,Place,12/29/20
KALE SPINACH & ROMAINE LETTUCE,Food & Drink,12/30/20
MEANINGFUL MEMORIES,Things,12/30/20
RUNNING FOR A TOUCHDOWN,Fun & Games,12/31/20
COLORFUL CONFETTI & CHILLED CHAMPAGNE,Same Letter,12/31/20
MANDARIN ORANGE,Food & Drink,12/31/20
MAKING NEW YEAR'S RESOLUTIONS,What Are You Doing?,1/1/21
SPLASHING IN THE WATER,Fun & Games,1/1/21
TWO THOUSAND TWENTY-ONE,Thing,1/1/21
SAN FRANCISCO SOURDOUGH BREAD,Food & Drink,1/4/21
A BREATHTAKING BAY,Place,1/4/21
POP CULTURE,Thing,1/4/21
BOURBON STREET IN NEW ORLEANS,On The Map,1/5/21
THE SPARKLING OCEAN,Thing,1/5/21
SPELLBINDING SPECIAL EFFECTS,Show Biz,1/6/21
BEAUTIFUL BLUE LAKES,Things,1/6/21
I COULD NOT BE HAPPIER,Phrase,1/6/21
SNOOZE & PANIC BUTTON,Same Name,1/7/21
KICKING BACK IN A HAMMOCK,What Are You Doing?,1/7/21
PHASES OF THE MOON,Things,1/7/21
BILL AND TED'S EXCELLENT ADVENTURE,The 80'S,1/8/21
GOLF CLUB SANDWICH,Before & After,1/8/21
WINNING THE KENTUCKY DERBY,Event,1/8/21
GRAND CENTRAL TERMINAL,Landmark,1/11/21
TREMENDOUSLY TALENTED TEAMMATES,Same Letter,1/11/21
EARLY MORNING SURF LESSON,Fun & Games,1/11/21
TALL SUNFLOWERS,Living Things,1/11/21
SPECTACULAR SEASIDE CLIFFS,Places,1/12/21
BAKED BEANS & TANGERINES,Rhyme Time,1/12/21
I'VE BEEN WORKING ON THE RAILROAD,Song Lyrics,1/13/21
PINBALL & WASHING MACHINE,Same Name,1/13/21
A FLIGHT TO COSTA RICA,Thing,1/13/21
DANCES WITH WOLVES,The 90'S,1/13/21
BLOWING OFF A LITTLE STEAM,What Are You Doing?,1/14/21
THE EMPIRE STRIKES BACK IN THE SADDLE,Before & After,1/14/21
A SPLENDID DESTINATION,Place,1/14/21
MIDNIGHT TRAIN TO GEORGIA,Song Lyrics,1/15/21
SWIMMING WITH SEA TURTLES,Fun & Games,1/15/21
A LEISURELY RIDE,Thing,1/15/21
FAMOUS MUSEUMS AND GALLERIES,Places,1/18/21
REFRIED & JELLY BEANS,Same Name,1/18/21
MAGNIFICENT ANCIENT RUINS,Things,1/18/21
KEEPING SCORE AT HOME,Fun & Games,1/18/21
YOU MAY FIND YOURSELF IN ANOTHER PART OF THE WORLD,Song Lyrics,1/19/21
TRADITIONAL ITALIAN RECIPES,Things,1/19/21
A KITTEN FROM GREAT BRITAIN,Rhyme Time,1/19/21
PIZZA PASTA & PEPPERONI,Same Letter,1/20/21
MEDIEVAL CASTLES & STATELY MANORS,Places,1/20/21
IT BRINGS A SMILE TO MY FACE,Phrase,1/20/21
AMATEUR INVENTOR,Person,1/20/21
TELEVISION COMMENTATOR,Show Biz,1/21/21
I SPEAK GERMAN CHOCOLATE CAKE,Before & After,1/22/21
A EUROPEAN PARADISE,Place,1/22/21
DOING SNOWBOARD TRICKS,Fun & Games,1/25/21
DRAMATIC MOUNTAINS AND PEAKS,Places,1/25/21
DAWN DAYTIME DUSK DARKNESS,Same Letter,1/26/21
I LOVE THIS KIND OF WEATHER,Phrase,1/26/21
DELIGHTED BEACHGOERS,People,1/26/21
FRIENDLY SNOWBALL FIGHT,Fun & Games,1/26/21
KAYAKING BETWEEN ICEBERGS,Fun & Games,1/27/21
OVERLOOKING THE CARIBBEAN,Phrase,1/27/21
OSLO NORWAY,On The Map,1/27/21
HEARTY BEEF STEW WITH POTATOES,Food & Drink,1/28/21
AWESOME VACATION PACKAGE,Thing,1/28/21
NEW SNOWSHOES,What Are You Wearing?,1/28/21
SKIING DOWN THE SLOPES,Fun & Games,1/29/21
CRAZY LITTLE THING CALLED LOVE HANDLES,Before & After,1/29/21
HAWAIIAN CULTURE,Thing,1/29/21
PAIR OF LONG JOHNS,What Are You Wearing?,1/29/21
ACADEMIC & ATHLETIC SCHOLARSHIPS,Things,2/1/21
ENJOYING MY TIME IN THE SUN,What Are You Doing?,2/1/21
CLAMBAKE IN THE BACKYARD,Event,2/1/21
PRISTINE CORAL REEFS,Places,2/2/21
TAKE A BREATH OF FRESH AIR,Phrase,2/3/21
REALITY & BLANK CHECK,Same Name,2/3/21
EXPLORING EVERY CORNER,What Are You Doing?,2/3/21
BOBCATS AND PRAIRIE DOGS,Living Things,2/3/21
COWBOY HAT AND A BIG BELT BUCKLE,What Are You Wearing?,2/4/21
UNDERWATER ADVENTURE,Fun & Games,2/4/21
STRIVING AND THRIVING,Rhyme Time,2/4/21
FRISKY FURRY FELINES,Same Letter,2/5/21
SOFT PRETZEL FROM A STREET VENDOR,Food & Drink,2/5/21
GETTING READY TO LEAVE TOWN,What Are You Doing?,2/5/21
SHORT AND SWEET,Phrase,2/5/21
CASCADING STREAMS AND WATERFALLS,Things,2/8/21
IS THIS REALLY HAPPENING TO ME?,Phrase,2/8/21
PACKING MY BACKPACK,What Are You Doing?,2/8/21
TOAD TADPOLE TURTLE TORTOISE,Same Letter,2/9/21
COZY CABIN BY THE LAKE,Place,2/9/21
GRACEFUL HULA DANCERS,People,2/9/21
ALL THE ESSENTIALS,Phrase,2/9/21
GRANOLA OATS RAISINS & PEANUTS,Food & Drink,2/10/21
SLEEPING & TOTE BAG,Same Name,2/10/21
UNEXPLORED WILDERNESS,Place,2/10/21
DRINKING FROM A CANTEEN,What Are You Doing?,2/10/21
LUSH GREEN FOREST,Place,2/11/21
EXCELLENT SUNBATHING CONDITIONS,Things,2/11/21
TELLING STORIES AROUND THE CAMPFIRE,Fun & Games,2/12/21
HEALTH FOOD FIGHT,Before & After,2/12/21
SEASIDE BARS AND CASINOS,Places,2/12/21
THAT'S NEWS TO ME,Phrase,2/12/21
THE PERFECT LOCATION,Place,2/15/21
CALIFORNIA CONDORS,Living Things,2/15/21
OKLAHOMA CITY LOOKS OH SO PRETTY,Song Lyrics,2/16/21
LEMONADE & RELIEF PITCHER,Same Name,2/16/21
IT'LL KNOCK YOUR SOCKS OFF,Phrase,2/16/21
I'M GOING TO GRACELAND GRACELAND,Song Lyrics,2/17/21
VACATIONING IN PARADISE,What Are You Doing?,2/17/21
AARDVARKS & TIGER SHARKS,Rhyme Time,2/17/21
THAT'S VERY GENEROUS,Phrase,2/17/21
SPICY SMOKED SAUSAGE SANDWICH,Same Letter,2/18/21
PLAYING AIR HOCKEY AT THE ARCADE,Fun & Games,2/18/21
BIG CITIES & SMALL TOWNS,Places,2/19/21
LOOK ON THE BRIGHT SIDE OF BEEF,Before & After,2/19/21
SPENDING THE DAY RELAXING,What Are You Doing?,2/19/21
SHE SHOOTS AND SCORES!,Phrase,2/19/21
PALM TREES SWAYING IN THE BREEZE,Living Things,2/22/21
SCRATCH MY BACK TO THE FUTURE,Before & After,2/22/21
SOMETHING GOOD IS COMING,Phrase,2/22/21
NO SHOES NO SHIRT NO PROBLEM,Phrase,2/23/21
MESMERIZING SUNSETS,Events,2/23/21
MARGARITAVILLE,Song Title,2/23/21
WE'LL GET THERE FAST AND THEN WE'LL TAKE IT SLOW,Song Lyrics,2/24/21
IRON & GINGERBREAD MAN,Same Name,2/24/21
WILDLIFE SANCTUARY,Place,2/24/21
BASKING IN THE SUN,What Are You Doing?,2/24/21
SANDALS SANDCASTLES & SANDWICHES,Same Letter,2/25/21
WONDERFUL DAY FOR SAILING,Fun & Games,2/25/21
COME WITH ME TO THE SEA OF LOVE,Song Lyrics,2/26/21
ALL YOU HAVE TO DO IS HAVE FUN AND RELAX,Phrase,2/26/21
INSECT REPELLENT,Around The House,2/26/21
THE SPANISH STEPS IN ROME,Landmark,3/1/21
BAHAMAS BARBADOS BRAZIL & BERLIN,Same Letter,3/1/21
ENJOYING A ROUND OF GOLF,Fun & Games,3/1/21
MAJOR SHOWSTOPPER,Show Biz,3/1/21
GARMENT & DOGGIE BAG,Same Name,3/2/21
TRANQUIL BEACHES,Places,3/2/21
GLUED TO THE TELEVISION,Phrase,3/2/21
LEARNING TO THROW A BOOMERANG,Fun & Games,3/3/21
I'VE NEVER SEEN ANYTHING LIKE IT,Phrase,3/3/21
COMMITTEE CHAIRPERSON,Person,3/3/21
FRIENDLY FLIGHT ATTENDANT,Person,3/4/21
BIG BEN AFFLECK,Before & After,3/4/21
WRITING A THANK-YOU NOTE,What Are You Doing?,3/4/21
GORGEOUS STRETCHES OF COAST,Places,3/5/21
SINGING AROUND THE CAMPFIRE,What Are You Doing?,3/8/21
CLIMBING A MOUNTAIN GOAT,Before & After,3/8/21
OCEANFRONT DINNER FOR TWO,Event,3/8/21
MY HIDDEN TALENTS,Things,3/8/21
YAKETY YAK DON'T TALK BACK,Song Lyrics,3/9/21
THE MUSIC OF JAMAICA,Thing,3/9/21
SIZZLING AND FIZZLING,Rhyme Time,3/9/21
THE REDWOODS IN YOSEMITE,Living Things,3/10/21
HIKING & GO-GO BOOTS,Same Name,3/10/21
EXPLORING THE JUNGLE,Fun & Games,3/10/21
HITTING THE PAUSE BUTTON,What Are You Doing?,3/10/21
MARSHMALLOWS CHOCOLATE AND GRAHAM CRACKERS,Food & Drink,3/11/21
CAPTIVATED BY ITS BEAUTY,Phrase,3/11/21
LOOKING FOR DINOSAUR FOSSILS,What Are You Doing?,3/12/21
TRAILER PARK RANGER,Before & After,3/12/21
THE SUN SHIMMERING ON THE SEA,Thing,3/12/21
HOWLING COYOTES,Living Things,3/12/21
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Movie Title,3/15/21
CRISPY PASTRY CHEF,Before & After,3/15/21
STAND-UP PADDLEBOARDING,Fun & Games,3/15/21
LET'S START FROM THE BEGINNING,Phrase,3/16/21
DREAMING OF MY TRIP TO IRELAND,What Are You Doing?,3/16/21
AMERICA'S FORTY-NINTH STATE,Place,3/17/21
EVERYBODY WINS,Phrase,3/17/21
PLAYING SKEE-BALL AT THE ARCADE,Fun & Games,3/18/21
FUN FRIDAY FESTIVITIES,Same Letter,3/18/21
RENTING A CANOE FOR THE DAY,What Are You Doing?,3/18/21
WORTH EVERY PENNY,Phrase,3/18/21
WIDE-SLOT TOASTER,In The Kitchen,3/18/21
THE BIRTHPLACE OF GEORGE WASHINGTON,Landmark,3/19/21
BOWLING & BOBBY PIN,Same Name,3/19/21
THE RELAXING SOUND OF WAVES,Thing,3/19/21
FOLLOWING DIRECTIONS,What Are You Doing?,3/19/21
BATH BOMBS & BUBBLE BATH,Same Letter,3/22/21
EXPAND YOUR HORIZONS,Phrase,3/22/21
INSPIRING PERFORMANCE,Event,3/22/21
IT'S TIMES LIKE THESE YOU LEARN TO LIVE AGAIN,Song Lyrics,3/23/21
CHARMING SEASIDE RETREAT,Place,3/23/21
LET'S DO BRUNCH,Phrase,3/23/21
THE BEST MASSAGE OF ALL TIME,Event,3/24/21
PILLOW FIGHT CLUB,Before & After,3/24/21
ENDLESS BLUE SKIES,Things,3/24/21
PLATE OF PASTA,Food & Drink,3/24/21
KICK BACK AND ENJOY,Phrase,3/25/21
THE ULTIMATE GETAWAY,Event,3/25/21
BEACHSIDE BUNGALOW,Place,3/26/21
COLORFUL PARROTFISH,Living Thing,3/26/21
MAKE NO MISTAKE,Phrase,3/26/21
THE MAJESTY OF THE GREAT OUTDOORS,Thing,3/29/21
SALMON SNAPPER SQUID & SHRIMP,Same Letter,3/29/21
RIDING A BOOGIE BOARD,Fun & Games,3/29/21
SPENDING THE DAY AT THE BAY,Rhyme Time,3/29/21
FISHING NET PROFIT,Before & After,3/30/21
CREATURE FROM THE BLACK LAGOON,Movie Title,3/30/21
FANTASTIC RESTAURANTS,Places,3/30/21
TIPS AND TECHNIQUES,Things,3/30/21
IS THAT A FACT?,Phrase,3/30/21
CARDINALS AND BLUE JAYS,Living Things,3/30/21
FLOATING GENTLY DOWN THE RIVER,Fun & Games,3/31/21
IT WILL LEAVE YOU AWESTRUCK,Phrase,3/31/21
A MARLIN LEAPING OUT OF THE WATER,Living Thing,4/1/21
CREAMY COCONUT MILK,Food & Drink,4/1/21
THE OLD MAN AND THE SEA SERPENT,Before & After,4/2/21
ICE FISHING AT A FROZEN POND,Fun & Games,4/2/21
BUYING A MAP OF THE ISLAND,What Are You Doing?,4/2/21
HISTORY BEING MADE,Phrase,4/2/21
ENTRANCE EXAMS AND INTERVIEWS,Things,4/5/21
I PROMISE I WILL CALL WHEN WE LAND,Phrase,4/5/21
MY FAVORITE PROFESSOR,Person,4/6/21
THE STUDENT BODY OF WATER,Before & After,4/6/21
BUYING A NEW BATHING SUIT,What Are You Doing?,4/6/21
SUMMER INTERNSHIP,Thing,4/6/21
HIGH-TOP TENNIS SHOES,What Are You Wearing?,4/6/21
HAVE YOU DECLARED A MAJOR YET?,College Life,4/7/21
MY FIRST TRIP TO HAWAII,Event,4/7/21
PIGGYBACK RIDE,Fun & Games,4/7/21
COURSE CATALOG CURRICULUM & CREDITS,Same Letter,4/8/21
READING THE CAMPUS NEWSPAPER,College Life,4/8/21
LEAVING MY LAPTOP AT HOME,What Are You Doing?,4/8/21
THERE'S NOTHING TO IT,Phrase,4/8/21
I'M BLINDED BY THE LIGHTS,Song Lyrics,4/9/21
SEMESTER BREAK DANCING,Before & After,4/9/21
IT'S WHAT I'VE ALWAYS WANTED,Phrase,4/9/21
LITTLE LEAGUE BASEBALL TEAM,People,4/12/21
DISCONNECT AND UNWIND,Phrase,4/12/21
YOU MAKE ME FEEL LIKE DANCING,The 70'S,4/13/21
SAVING PRIVATE RYAN REYNOLDS,Before & After,4/13/21
SPARKLING SWIMMING POOLS,Places,4/13/21
PRIZED POSSESSION,Thing,4/13/21
COFFEE BEAN BURRITO,Before & After,4/14/21
NATURE AND WILDLIFE TOUR,Event,4/14/21
PLEASE LEAVE A MESSAGE,Phrase,4/14/21
EATING LUNCH AT A SUSHI BAR,What Are You Doing?,4/15/21
THE WRONG ANSWER,Thing,4/15/21
TAMPA BAY BUCCANEERS SUPER BOWL CHAMPIONS!,Headline,4/16/21
IMPORTANT TECHNOLOGICAL BREAKTHROUGH,Event,4/16/21
SOOTHING TRADE WINDS,Things,4/16/21
VOLUNTEERING MY TIME,What Are You Doing?,4/16/21
THAT'S QUITE A CAST OF CHARACTERS,Phrase,4/19/21
COMEDY & BOOK CLUB,Same Name,4/19/21
HEADING TO THE BAHAMAS,What Are You Doing?,4/19/21
MUST-SEE ATTRACTIONS,Things,4/19/21
WATCHING MOVIE TRAILERS,What Are You Doing?,4/20/21
INTERNATIONAL TRAVEL,Event,4/20/21
NAPA VALLEY WINERIES,Places,4/20/21
FEATHERS FLIPPERS & FUR,Same Letter,4/21/21
RESTAURANTS IN SANTA BARBARA,Places,4/21/21
THE VIEWS ARE SENSATIONAL,Phrase,4/21/21
SELF-GUIDED WALKING TOUR,Fun & Games,4/22/21
TWO-CAR GARAGE BAND,Before & After,4/22/21
EXTRAORDINARY VACATION,Event,4/22/21
WITHOUT RHYME OR REASON,Phrase,4/22/21
OUTSTANDING WEATHER,Thing,4/23/21
A HOLLYWOOD ENDING,Show Biz,4/23/21
EVERY DAY IN EVERY WAY,Rhyme Time,4/26/21
BEAUTIFUL UNDERWATER WORLDS,Places,4/26/21
SOCIAL BUTTERFLY,Person,4/26/21
FLIPPING BURGERS ON THE GRILL,What Are You Doing?,4/27/21
TWILIGHT & COMFORT ZONE,Same Name,4/27/21
HAVING THE TIME OF YOUR LIFE,What Are You Doing?,4/27/21
WINE CELLAR,Place,4/27/21
PLANNING MY ESCAPE,What Are You Doing?,4/28/21
THAT SAYS IT ALL,Phrase,4/28/21
FOCUSING ON WHAT'S IMPORTANT,What Are You Doing?,4/29/21
MEET ME AT THE SWIM-UP BAR,Phrase,4/29/21
DOING MY HAPPY DANCE,Fun & Games,4/29/21
CHEDDAR CHEESE GRITS,Food & Drink,4/30/21
BICYCLE CHAIN OF EVENTS,Before & After,4/30/21
WHITE SAND AND A COOL BREEZE,Things,4/30/21
THREE-SPEED CEILING FAN,Around The House,4/30/21
PIGGY BANK MANAGER,Before & After,5/3/21
EXPERIENCE OF A LIFETIME,Event,5/3/21
SCROLLING THROUGH PICS,What Are You Doing?,5/3/21
RIDING AN INDOOR EXERCISE BIKE,Fun & Games,5/4/21
AWARD-WINNING HOSPITALITY,Thing,5/4/21
SOFT FLUFFY TOWELS,Around The House,5/4/21
ADMIRING THE INFINITY POOL,What Are You Doing?,5/5/21
PERSONAL STYLIST,Occupation,5/5/21
GIVING SOME REALLY GREAT ADVICE,What Are You Doing?,5/6/21
SHAMPOOS SCENTED SOAPS SUDS & SPONGES,Same Letter,5/6/21
WE ARE HAVING A BLAST,Phrase,5/6/21
PERFUME SAMPLE SET,Thing,5/6/21
DRESSING & WIGGLE ROOM,Same Name,5/7/21
BRAND NEW DESIGNER COSMETIC CASE,Thing,5/7/21
ABSOLUTELY SPECTACULAR,Phrase,5/7/21
LIGHTWEIGHT LEATHER LUGGAGE,Same Letter,5/10/21
HAVING DINNER ON THE COAST,What Are You Doing?,5/10/21
LONG WINDING ROAD,Place,5/10/21
DELICIOUS HOME-COOKED MEAL,Food & Drink,5/11/21
WALKING THROUGH A BAMBOO FOREST,Fun & Games,5/11/21
IT'S TIME TO GET ORGANIZED,Phrase,5/11/21
AFTERNOON OF APPLE PICKING,Event,5/12/21
DELIGHTFUL ISLAND TREATS,Food & Drink,5/12/21
YOU COULD HAVE FOOLED ME,Phrase,5/12/21
MAKING WONDERFUL MEMORIES,What Are You Doing?,5/13/21
HISTORIC LIGHTHOUSE,Landmark,5/13/21
SIPPING LEMONADE ON THE PORCH,What Are You Doing?,5/14/21
BED & BREAKFAST BUFFET,Before & After,5/14/21
THE BIRTHPLACE OF REGGAE MUSIC,Place,5/14/21
JAMS AND JELLIES,Food & Drink,5/14/21
SHUFFLEBOARD PLAYER PIANO,Before & After,5/17/21
A BLOWN-OUT FLIP-FLOP,What Are You Wearing?,5/17/21
CHANGING MY LATITUDE,What Are You Doing?,5/17/21
I THINK I'LL STOP FOR A WHILE,Phrase,5/18/21
ATTENDING A SURPRISE PARTY,Fun & Games,5/18/21
WAVES WHARFS & WEEKENDS,Same Letter,5/19/21
PLAYING VOLLEYBALL AT THE BEACH,Fun & Games,5/19/21
A SUPERB HIDEAWAY,Place,5/19/21
LICENSE TO CHILL,Title,5/19/21
RECEIVING A BIG PROMOTION,Event,5/20/21
DIVING INTO THE OCEAN,Fun & Games,5/20/21
FAR SIDE OF THE WORLD,Place,5/20/21
DAYDREAMING THE WHOLE DAY,What Are You Doing?,5/21/21
GRAVY & LOVE BOAT,Same Name,5/21/21
STICKING YOUR TOES IN THE SAND,Fun & Games,5/21/21
REVERSIBLE RAINCOAT,What Are You Wearing?,5/21/21
CREEKS COVES & CHANNELS,Same Letter,5/24/21
ENJOYING THE SURROUNDINGS,What Are You Doing?,5/24/21
STEVIE WONDER,Proper Name,5/24/21
BEING TOTALLY SPONTANEOUS,What Are You Doing?,5/25/21
HAWAII HERE I COME,Phrase,5/25/21
SUPERHERO CAPE,What Are You Wearing?,5/25/21
FROM SEA TO SHINING SEA MONSTER,Before & After,5/26/21
TREES FULL OF GREEN LEAVES,Living Things,5/26/21
SNORKELING IN CLEAR WATERS,Fun & Games,5/26/21
ENTERTAINER OF THE YEAR,Show Biz,5/26/21
SYLVESTER STALLONE,Proper Name,5/26/21
COMPETING IN A RUGBY TOURNAMENT,Fun & Games,5/27/21
BREATHTAKING DESTINATION,Place,5/27/21
WHITE RHINOCEROS,Living Thing,5/27/21
DON'T SWEAT THE SMALL STUFF,Phrase,5/28/21
CUP OF CINNAMON-SPICED CIDER,Food & Drink,5/31/21
SOUR CREAM OF THE CROP,Before & After,5/31/21
BUYING SOUVENIRS,What Are You Doing?,5/31/21
GIANT GIGANTIC GINORMOUS,Same Letter,6/1/21
SCORING THE GAME-WINNING RUN,Fun & Games,6/1/21
NOTHING BUT SUNSHINE,Phrase,6/1/21
MEDICINE CABINET,Around The House,6/1/21
CAREER & BIKE PATH,Same Name,6/2/21
CRUISING ON A CATAMARAN,Fun & Games,6/2/21
PREPARING MY SPEECH,What Are You Doing?,6/2/21
NASA ROVER TOUCHES DOWN ON MARS,Headline,6/3/21
CALLING MY TRAVEL AGENT,What Are You Doing?,6/3/21
BUSHEL OF BERRIES,Food & Drink,6/3/21
IN THE IMMEDIATE FUTURE,Phrase,6/4/21
OCEANFRONT GOLF COURSE,Place,6/4/21
ELECTRIC DRILL SERGEANT,Before & After,6/7/21
POPPING POPCORN IN THE POPCORN POPPER,What Are You Doing?,6/7/21
BALANCING ON A PADDLEBOARD,Fun & Games,6/7/21
THE WORLD'S GREATEST,Phrase,6/7/21
THIS IS MY BREAD AND BUTTER,Phrase,6/8/21
SPIDER MONKEY WRENCH,Before & After,6/8/21
FLYING OVER THE ATLANTIC,Event,6/8/21
SLEEPING ON THE COUCH,What Are You Doing?,6/8/21
PLAYING CATCH IN THE BACKYARD,Fun & Games,6/9/21
START YOUR DAY WITH A SMILE,Phrase,6/9/21
DEPENDABLE SERVICE,Thing,6/9/21
ENORMOUS PACIFIC BLUE MARLIN,Living Thing,6/10/21
THE SOUND OF STEEL DRUMS,Thing,6/10/21
THE NEXT GENERATION,People,6/10/21
MY FAVORITE SPORT TO WATCH,Fun & Games,6/11/21
TELLING TALL TALES,Same Letter,6/11/21
SIPPING DRINKS POOLSIDE,What Are You Doing?,6/11/21
SARDINES & JELLY BEANS,Rhyme Time,6/11/21
CRAYONS CHALK & COMPUTERS,Same Letter,9/13/21
THIS IS THE PERFECT RESORT,Phrase,9/13/21
STORYBOOK ENDING,Event,9/13/21
I FORGOT TO DO MY HOMEWORK,Phrase,9/14/21
BALLPOINT PEN PAL,Before & After,9/14/21
DOLPHINS AND MANTA RAYS,Living Things,9/14/21
CINNAMON FRENCH TOAST,Food & Drink,9/14/21
GO TO THE PRINCIPAL'S OFFICE,Phrase,9/15/21
CARIBBEAN COASTLINE,Place,9/15/21
THREE-RING CIRCUS,Show Biz,9/15/21
MY MOM WROTE ME AN EXCUSE,Phrase,9/16/21
WHITE CLOUDS AND BLUE SKY,Things,9/16/21
COMPARING AND CONTRASTING,What Are You Doing?,9/16/21
FIELD TRIP TO THE MUSEUM,Event,9/17/21
TEACHER'S PET PEEVE,Before & After,9/17/21
LEARNING THE METRIC SYSTEM,What Are You Doing?,9/17/21
LET'S GO CRAZY LET'S GET NUTS,Song Lyrics,9/20/21
MOTHER-IN-LAW & ORDER,Before & After,9/20/21
BEACH CHAIRS AND TOWELS,Things,9/20/21
MAKING THE GRADE,Phrase,9/20/21
TURTLE WATCHING,Fun & Games,9/21/21
MOUNTAINS AND MOLEHILLS,Things,9/21/21
LEOPARD PRINT PANTS,What Are You Wearing?,9/22/21
TOP TRAVEL DESTINATION,Place,9/22/21
THAT NEW CAR SMELL,Thing,9/22/21
CARBONATED WATER POLO,Before & After,9/23/21
PALM TREES ON THE SHORE,Living Things,9/23/21
